Seven ^cd++++=SEVEN
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
students ^nns++++=students,
, ^zz++++=EXTRAWORD
sat ^jj+atrb++xvbn+=sat
one ^cd1++++=one
evening ^nn++++=evening
in ^in++++=in
Hartwell ^np++++=Hartwell's
's ^$++++=EXTRAWORD
studio ^np++++=studio
on ^in++++=on
the ^ati++++=the
Boulevard ^&fw++++=Boulevard
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Michel ^np++++=Michel.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
all ^abn++++=all
fellow ^jjb++++=fellow-countrymen;
- ^zz++++=EXTRAWORD
countrymen ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
one ^pn++++=one
from ^in++++=from
New ^jj+atrb+++=New
Hampshire ^np++++=Hampshire,
, ^zz++++=EXTRAWORD
one ^pn++++=one
from ^in++++=from
Colorado ^np++++=Colorado,
, ^zz++++=EXTRAWORD
another ^dt++++=another
from ^in++++=from
Nevada ^np+++??+=Nevada,
, ^zz++++=EXTRAWORD
several ^ap++++=several
from ^in++++=from
the ^ati++++=the
farm ^nn++++=farm
lands ^nns++++=lands
of ^in++++=of
the ^ati++++=the
Middle ^jjb++++=Middle
West ^np+pl+++=West,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
myself ^ppl+pp1+++=myself
from ^in++++=from
California ^np++++=California.
. ^zz++++=EXTRAWORD
Lyon ^np+++??+=Lyon
Hartwell ^np+++??+=Hartwell,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
born ^vbd+++xvbn+=born
abroad ^rb+cnj+++=abroad,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
simply ^rb+cnj+++=simply,
, ^zz++++=EXTRAWORD
as ^in++++=as
every ^at++++=every
one ^cd1++++=one
knew ^vbd+vprv++xvbn+=knew,
, ^zz++++=EXTRAWORD
" ^zz++++="from
from ^in++++=EXTRAWORD
America ^np++++=America."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
more ^rbr++++=more
than ^in++++=than
any ^dti++++=any
other ^ap++++=other
one ^cd1++++=one
living ^jj+atrb++xvbg+=living
man ^nn++++=man,
, ^zz++++=EXTRAWORD
to ^to++++=to
mean ^vbi+vprv+++=mean
all ^rb++++=all
of ^in++++=of
it ^pp3+it+++=it
from ^in++++=from
ocean ^nn++++=ocean
to ^in++++=to
ocean ^nn++++=ocean.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
in ^in++++=in
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
studio ^nn++++=studio
was ^vbd+bedz+vrb++=was
always ^rb++++=always
open ^jj+pred+++=open
to ^in++++=to
the ^ati++++=the
seven ^cd++++=seven
of ^in++++=of
us ^pp1o+pp1+++=us
who ^whp+who+++=who
were ^vbd+bed+vrb++=were
there ^rn+pl+++=there
that ^cs+sub+++=that
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
intruded ^vprf+++xvbn+=intruded
upon ^in++++=upon
his ^pp$+pp3+++=his
leisure ^nn++++=leisure
as ^ql++++=as
often ^rb++++=often
as ^ql++++=as
we ^pp1a+pp1+++=we
thought ^vbd+++xvbn+=thought
permissible ^jj++++=permissible.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
within ^in++++=within
the ^ati++++=the
terms ^nns++++=terms
of ^in++++=of
the ^ati++++=the
easiest ^nn++++=easiest
of ^in++++=of
all ^abn++++=all
intimacies ^nns+nom+++=intimacies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
although ^cs+con+++=although
the ^ati++++=the
great ^jj+atrb+++=great
sculptor ^nn++++=sculptor,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
more ^ql++++=more
than ^cs+sub+++=than
usually ^rb+down+++=usually
silent ^jj++++=silent,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
at ^rb++++=at
all ^abn++++=all
times ^nns++++=times
the ^ati++++=the
most ^ql+emph+++=most
gravely ^np++++=gravely
cordial ^jj++++=cordial
of ^in++++=of
hosts ^nns++++=hosts,
, ^zz++++=EXTRAWORD
