Charles ^np++++=Charles
Pineau ^np+++??+=Pineau
Duclos ^np+++??+=Duclos
was ^vbd+bedz+vrb++=was
a ^at++++=a
French ^jj+atrb+++=French
writer ^nn++++=writer
of ^in++++=of
biographies ^nns++++=biographies
and ^cc++++=and
novels ^nns++++=novels,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
and ^cc+phrs+++=and
worked ^vbd+++xvbn+=worked
during ^in++++=during
the ^ati++++=the
first ^rb++++=first
half ^abn++++=half
of ^in++++=of
the ^ati++++=the
eighteenth ^od++++=eighteenth
century ^nn++++=century.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
prospered ^vbd+++xvbnx+=prospered
sufficiently ^rb++++=sufficiently
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
literary ^jj+atrb+++=literary
man ^nn++++=man,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
made ^vpsv++agls+xvbnx+=made
secretary ^npt+nom+++=secretary
to ^in++++=to
the ^ati++++=the
French ^jj+atrb+++=French
Academy ^nn++++=Academy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
be ^vbi+vbi+aux++=be
allowed ^vb++pmd"+xvbnx+=allowed
to ^to+vcmp+pmd++=to
succeed ^vb++++=succeed
Voltaire ^np+++??+=Voltaire
in ^in++++=in
the ^ati++++=the
office ^nn++++=office
of ^in++++=of
historiographer ^nn++++=historiographer
of ^in++++=of
France ^np++++=France.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+aux++=has
left ^vprf+++xvbnx+=left
behind ^rb+phrv+++=behind
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
own ^ap++++=own
country ^nn++++=country,
, ^zz++++=EXTRAWORD
the ^ati++++=the
reputation ^nn+nom+++=reputation
of ^in++++=of
a ^at++++=a
lively ^jj+atrb+++=lively
writer ^nn++++=writer
of ^in++++=of
the ^ati++++=the
second ^od++++=second
class ^nn++++=class,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
addressed ^vbd+++xvbn+=addressed
the ^ati++++=the
public ^nn++++=public
of ^in++++=of
his ^pp$+pp3+++=his
day ^nn++++=day
with ^in++++=with
fair ^jj+atrb+++=fair
success ^nns+nom+++=success,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
since ^in++++=since
his ^pp$+pp3+++=his
death ^nn++++=death,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
not ^xnot++not++=not
troubled ^jj+atrb++xvbn+=troubled
posterity ^nn+nom+++=posterity
to ^to++++=to
take ^vbi++++=take
any ^dti++++=any
particular ^jj++++=particular
notice ^vb+vprv+++=notice
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
papers ^nns++++=papers
left ^vwbn+++xvbn+=left
by ^in++++=by
Duclos ^np+++??+=Duclos,
, ^zz++++=EXTRAWORD
two ^cd++++=two
manuscripts ^nns++++=manuscripts
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
probably ^rb++++=probably
intended ^vbd+vsua++xvbn+=intended
to ^to+vcmp+++=to
turn ^vbi++++=turn
to ^in++++=to
some ^dti++++=some
literary ^jj+atrb+++=literary
account ^nn++++=account.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
was ^vbd+bedz+vrb++=was
a ^at++++=a
brief ^jj+atrb+++=brief
Memoir ^nn++++=Memoir,
, ^zz++++=EXTRAWORD
written ^xvbn+++xvbn+=written
