A ^at++++=A
sergeant ^nn+nom+++=sergeant,
, ^zz++++=EXTRAWORD
a ^at++++=a
corporal ^nn+nom+++=corporal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fourteen ^cd++++=fourteen
men ^nns++++=men
of ^in++++=of
the ^ati++++=the
Twelfth ^np++++=Twelfth
Regiment ^nn+nom+++=Regiment
of ^in++++=of
the ^ati++++=the
Line ^nn++++=Line
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
sent ^vpsv++agls+xvbnx+=sent
out ^rp+pl+++=out
to ^to++++=to
occupy ^vbi++++=occupy
a ^at++++=a
house ^npl++++=house
on ^in++++=on
the ^ati++++=the
main ^jjb+atrb+++=main
highway ^nn++++=highway.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
would ^md+prd+++=would
be ^vb+be+vrb++=be
at ^rb++++=at
least ^rb"++++=least
a ^at++++=a
half ^nn++++=half
of ^in++++=of
a ^at++++=a
mile ^nn++++=mile
in ^in++++=in
advance ^nn+nom+++=advance
of ^in++++=of
any ^dti++++=any
other ^ap++++=other
picket ^nn++++=picket
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own
people ^nns++++=people.
. ^zz++++=EXTRAWORD
Sergeant ^nn+nom+++=Sergeant
Morton ^np++++=Morton
was ^vbd+bedz+vrb++=was
deeply ^rb++++=deeply
angry ^jj+pred+++=angry
at ^rb++++=at
being ^xvbg+++xvbg+=being
sent ^vwbn+++xvbn+=sent
on ^in++++=on
this ^dt+dem+++=this
duty ^nn++++=duty.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
over ^in++++=over-worked.
- ^zz++++=EXTRAWORD
worked ^vbd+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
at ^rb++++=at
least ^rb"++++=least
two ^cd++++=two
sergeants ^nns+nom+++=sergeants,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
claimed ^vbd+vpub++xvbnx+=claimed
furiously ^rb+cnj+++=furiously,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
turn ^nn++++=turn
it ^pp3+it+++=it
should ^md+nec+++=should
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
to ^to++++=to
go ^vbi++++=go
on ^in++++=on
this ^dt+dem+++=this
arduous ^jj+atrb+++=arduous
mission ^nn++++=mission.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
treated ^vpsv++agls+xvbnx+=treated
unfairly ^rb++++=unfairly;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
abused ^vpsv++by+xvbnx+=abused
by ^in++++=by
his ^pp$+pp3+++=his
superiors ^nns++++=superiors;
