This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
baseball ^nn++++=baseball
story ^nn++++=story.
. ^zz++++=EXTRAWORD
The ^ati++++=The
grandstand ^nn++++=grandstand
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
rise ^nn++++=rise
as ^ql++++=as
one ^cd1++++=one
man ^nn++++=man
and ^cc++++=and
shout ^vb++++=shout
itself ^ppl++++=itself
hoarse ^jj++++=hoarse
with ^in++++=with
joy ^nn++++=joy.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
three ^cd++++=three-bagger
- ^zz++++=EXTRAWORD
bagger ^jjr++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
entire ^jjb++++=entire
three ^cd++++=three
thousand ^cd++++=thousand
words ^nns++++=words,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nobody ^pn++++=nobody
is ^vbz+bez+aux++=is
carried ^vpsv++agls+xvbnx+=carried
home ^nr++++=home
on ^in++++=on
the ^ati++++=the
shoulders ^nns+nom+++=shoulders
of ^in++++=of
the ^ati++++=the
crowd ^nn++++=crowd.
. ^zz++++=EXTRAWORD
For ^in++++=For
that ^dt+dem+++=that
sort ^nn++++=sort
of ^in++++=of
thing ^nn++++=thing
you ^pp2+pp2+++=you
need ^vb++++=need
not ^xnot++not++=not
squander ^jjr++++=squander
fifteen ^cd++++=fifteen
cents ^nns++++=cents
on ^in++++=on
your ^pp$+pp2+++=your
favorite ^jj+atrb+++=favorite
magazine ^nn++++=magazine.
. ^zz++++=EXTRAWORD
The ^ati++++=The
modest ^jj+atrb+++=modest
sum ^nn++++=sum
of ^in++++=of
one ^cd1++++=one
cent ^nnu"++++=cent
will ^md+prd+++=will
make ^vb++++=make
you ^pp2+pp2+++=you
the ^ati++++=the
possessor ^nn++++=possessor
of ^in++++=of
a ^at++++=a
Pink ^jj++++=Pink
' ^zz++++='Un.
un ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
you ^pp2+pp2+++=you
will ^md+prd+++=will
find ^vb+vprv+++=find
the ^ati++++=the
season ^nn++++=season's
's ^$++++=EXTRAWORD
games ^nns++++=games
handled ^vbd+++xvbn+=handled
in ^in++++=in
masterly ^jj+atrb+++=masterly
fashion ^nn++++=fashion
by ^in++++=by
a ^at++++=a
six ^cd++++=six-best-seller
- ^zz++++=EXTRAWORD
best ^jjt++++=EXTRAWORD
- ^zz++++=EXTRAWORD
seller ^nn++++=EXTRAWORD
artist ^nn++++=artist,
, ^zz++++=EXTRAWORD
an ^at++++=an
expert ^jj+atrb+++=expert
mathematician ^nn++++=mathematician,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
original ^jj++++=original-slang
- ^zz++++=EXTRAWORD
slang ^nn++++=EXTRAWORD
humorist ^nn+nom+++=humorist.
. ^zz++++=EXTRAWORD
No ^at++++=No
mere ^jjb+atrb+++=mere
short ^jj+atrb+++=short
story ^nn++++=story
dub ^nn+++??+=dub
may ^md+pos+++=may
hope ^vb++++=hope
to ^to+vcmp+++=to
compete ^vbi++++=compete
with ^in++++=with
these ^dt+pdem+++=these.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
