Who ^whp+who+++=Who
ever ^rb++++=ever
wore ^vbd+++xvbn+=wore
such ^abl++++=such
a ^at++++=a
queer ^jj++++=queer-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
thing ^nn++++=thing?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wore ^vbd+++xvbnx+=wore
it ^pp3+it+++=it
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
dear ^jj++++=dear,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
upon ^in++++=upon
a ^at++++=a
time ^nn++++=time;
; ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did!
! ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
you ^pp2+pp2+++=you
would ^md+prd+++=would
like ^vb++++=like
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
you ^pp2+pp2+++=you
mend ^vb++++=mend
that ^dt+dem+++=that
tear ^nn++++=tear
in ^in++++=in
your ^pp$+pp2+++=your
muslin ^nn++++=muslin.
. ^zz++++=EXTRAWORD
Sit ^vb++++=Sit
down ^rb+cnj+++=down,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb+++xvbn+=let
us ^pp1o+pp1+++=us
be ^vb+be+vrb++=be
cosy ^jj+pred+++=cosy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
making ^vbg+++xvbgx+=making
a ^at++++=a
visit ^nn++++=visit
in ^in++++=in
Hillton ^np+++??+=Hillton
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
seventeen ^cd++++=seventeen
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
your ^pp$+pp2+++=your
age ^nn++++=age;
; ^zz++++=EXTRAWORD
staying ^vbg+++xvbg+=staying
with ^in++++=with
dear ^jj+atrb+++=dear
old ^jj+atrb+++=old
Miss ^npt++++=Miss
Persis ^np++++=Persis
