" ^zz++++="Ye
ye ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard
that ^tht+vcmp+++=that
it ^pp3+it+++=it
hath ^vbz+hvz+aux++=hath
been ^vprf+ben+aux+xvbnx+=been
said ^vpsv++agls+xvbnx+=said,
, ^zz++++=EXTRAWORD
an ^at++++=an
eye ^nn++++=eye
for ^in++++=for
an ^at++++=an
eye ^nn++++=eye
and ^cc++++=and
a ^at++++=a
tooth ^nn++++=tooth
for ^in++++=for
a ^at++++=a
tooth ^nn++++=tooth:
: ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say
unto ^in++++=unto
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
ye ^pp2+pp2+++=ye
resist ^vb++++=resist
not ^xnot++not++=not
evil." ^nn+++??+=evil."--ST.
-- ^--+clp+++=EXTRAWORD
st ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Matthew ^np++++=MATTHEW
V ^zz++++=V.
. ^zz++++=EXTRAWORD
38 ^cd++++=38,
, ^zz++++=EXTRAWORD
39 ^cd++++=39.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
serfdom ^nn+nom+++=serfdom--many
-- ^--+clp+++=EXTRAWORD
many ^ap++++=EXTRAWORD
years ^nns++++=years
before ^in++++=before
Alexander ^np+nom+++=Alexander
Ii. ^np++++=II.'s
's ^$++++=EXTRAWORD
liberation ^nn+nom+++=liberation
of ^in++++=of
the ^ati++++=the
sixty ^cd++++=sixty
million ^cd++++=million
serfs ^nns++++=serfs
in ^in++++=in
1862 ^cd+date+++=1862.
. ^zz++++=EXTRAWORD
In ^in++++=In
those ^dt+dem+++=those
days ^nns++++=days
the ^ati++++=the
people ^nns++++=people
were ^vbd+bed+aux++=were
ruled ^vpsv++by+xvbnx+=ruled
by ^in++++=by
different ^jj+atrb+++=different
kinds ^nns++++=kinds
of ^in++++=of
lords ^nns++++=lords.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
a ^ap++++=a
few ^ap"++++=few
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
remembering ^nc+++xvbg+=remembering
God ^np++++=God,
, ^zz++++=EXTRAWORD
treated ^xvbn+++xvbn+=treated
their ^pp$+pp3+++=their
slaves ^nns++++=slaves
in ^in++++=in
a ^at++++=a
humane ^jj+atrb+++=humane
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
as ^ql++++=as
beasts ^nns++++=beasts
of ^in++++=of
burden ^nn++++=burden,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
others ^aps++++=others
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
seldom ^rb++splt++=seldom
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
perform ^vbi++++=perform
a ^at++++=a
kind ^nn++++=kind
or ^cc++++=or
generous ^jj+atrb+++=generous
action ^nn++++=action;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
most ^ql+emph+++=most
barbarous ^jj++++=barbarous
and ^cc+phrs+++=and
tyrannical ^jj++++=tyrannical
of ^in++++=of
all ^rb++++=all
were ^vbd+bed+vrb++=were
those ^dt+dem+++=those
former ^ap++++=former
serfs ^nns++++=serfs
who ^whp+rel+subj++=who
arose ^vbd+++xvbn+=arose
from ^in++++=from
the ^ati++++=the
dirt ^nn++++=dirt
and ^cc++++=and
became ^vbd+++xvbn+=became
princes ^nns++++=princes.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
this ^dt+dem+++=this
latter ^ap++++=latter
class ^nn++++=class
who ^whp+rel+subj++=who
made ^vbd+++xvbn+=made
life ^nn++++=life
literally ^rb++++=literally
a ^at++++=a
burden ^nn++++=burden
to ^in++++=to
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
unfortunate ^jj+pred+++=unfortunate
enough ^qlp++++=enough
to ^to++++=to
come ^vbi++++=come
under ^in+ppvb+++=under
their ^pp$+pp3+++=their
rule ^nn++++=rule.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
of ^in++++=of
them ^pp3o+pp3+++=them
had ^vbd+hvd+aux++=had
arisen ^vprf+++xvbn+=arisen
from ^in++++=from
the ^ati++++=the
ranks ^nns++++=ranks
of ^in++++=of
the ^ati++++=the
peasantry ^nn++++=peasantry
to ^to++++=to
become ^vbi++++=become
