Such ^abl++++=SUCH
An ^at++++=AN
Expression ^nn++++=EXPRESSION
of ^in++++=of
unhappiness ^nns+nom+++=unhappiness
was ^vbd+bedz+vrb++=was
enough ^qlp++++=enough
by ^in++++=by
itself ^ppl++++=itself
to ^to++++=to
make ^vbi++++=make
one ^cd1++++=one's
's ^vbz+bez+aux++0=EXTRAWORD
eyes ^nns++++=eyes
slide ^vb++++=slide
above ^jjb++++=above
the ^ati++++=the
paper ^nn++++=paper's
's ^$++++=EXTRAWORD
edge ^nn++++=edge
to ^in++++=to
the ^ati++++=the
poor ^jj+atrb+++=poor
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
insignificant ^jj++++=insignificant
without ^in++++=without
that ^dt+dem+++=that
look ^nn++++=look,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
a ^at++++=a
symbol ^nn++++=symbol
of ^in++++=of
human ^jj+atrb+++=human
destiny ^nn++++=destiny
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Life ^np++++=Life's
's ^$++++=EXTRAWORD
what ^wdt+who+++=what
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
in ^in++++=in
people ^nns++++=people's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes;
; ^zz++++=EXTRAWORD
life ^nn++++=life's
's ^$++++=EXTRAWORD
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
learn ^vb+vprv+++=learn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
learnt ^vprf+++xvbn+=learnt
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
never ^rb+cnj+++=never,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
seek ^vb++++=seek
to ^to+vcmp+++=to
hide ^vbi++++=hide
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
cease ^vb++++=cease
to ^to++++=to
be ^vbi++vrb++=be
aware ^jj+pred+++=aware
of ^in++++=of
what ^wdt+who+++=what?
? ^zz++++=EXTRAWORD
That ^dt+dem+++=That
life ^nn++++=life's
's ^vbz+bez+vrb++0=EXTRAWORD
like ^in++++=like
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seems ^vbz+seem+++=seems.
. ^zz++++=EXTRAWORD
Five ^cd++++=Five
faces ^nns++++=faces
oppositefive ^jj+atrb+++=oppositefive
mature ^jj+atrb+++=mature
faces ^nns++++=faces
and ^cc++++=and
the ^ati++++=the
knowledge ^nn++++=knowledge
in ^in++++=in
each ^dt++++=each
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Strange ^jj++++=Strange,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
people ^nns++++=people
want ^vb++++=want
to ^to+vcmp+++=to
conceal ^vbi++++=conceal
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
Marks ^nns++++=Marks
of ^in++++=of
reticence ^nn+nom+++=reticence
are ^vb+ber+vrb++=are
on ^in++++=on
all ^abn++++=all
those ^dt+dem+++=those
faces ^nns++++=faces:
: ^zz++++=EXTRAWORD
lips ^nns++++=lips
shut ^vbd+++xvbn+=shut,
, ^zz++++=EXTRAWORD
eyes ^nns++++=eyes
shaded ^vbd+++xvbn+=shaded,
, ^zz++++=EXTRAWORD
each ^dt++++=each
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
five ^cd++++=five
doing ^vbg+++xvbg+=doing
something ^pn++++=something
to ^to++++=to
hide ^vbi++++=hide
or ^cc+phrs+++=or
stultify ^vb++++=stultify
his ^pp$+pp3+++=his
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
smokes ^vbz++++=smokes;
; ^zz++++=EXTRAWORD
another ^ppls++++=another
reads ^vbz++++=reads;
; ^zz++++=EXTRAWORD
a ^at++++=a
third ^nn++++=third
checks ^nns++++=checks
entries ^nns++++=entries
in ^in++++=in
a ^at++++=a
pocket ^nn++++=pocket
book ^nn++++=book;
; ^zz++++=EXTRAWORD
a ^at++++=a
fourth ^od++++=fourth
stares ^nns+++??+=stares
at ^rb++++=at
the ^ati++++=the
map ^nn++++=map
of ^in++++=of
the ^ati++++=the
line ^nn++++=line
framed ^vbd+++xvbn+=framed
opposite ^jj++++=opposite;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
fifth ^nn++++=fifth
the ^ati++++=the
terrible ^jj+atrb+++=terrible
thing ^nn++++=thing
about ^in++++=about
the ^ati++++=the
fifth ^nn++++=fifth
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
does ^vbz+doz+vrb++=does
nothing ^pn++++=nothing
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looks ^nns++++=looks
at ^rb++++=at
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
my ^pp$+pp1+++=my
poor ^jj+atrb+++=poor,
, ^zz++++=EXTRAWORD
unfortunate ^jj+atrb+++=unfortunate
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
play ^vb++++=play
the ^ati++++=the
game ^nn++++=game
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
for ^in++++=for
all ^abn++++=all
our ^pp$+pp1+++=our
sakes ^nns++++=sakes,
, ^zz++++=EXTRAWORD
conceal ^vb++++=conceal
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
As ^cs+sub+++=As
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
heard ^vbd+vprv++xvbnx+=heard
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
up ^rp++++=up,
, ^zz++++=EXTRAWORD
shifted ^j+++xvbn+=shifted
slightly ^rb+down+++=slightly
in ^in++++=in
her ^pp$+pp3+++=her
seat ^nn++++=seat
and ^cc++++=and
sighed ^vbd+++xvbn+=sighed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
apologise ^vbi++++=apologise
and ^cc++++=and
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
to ^to++++=to
say ^vbi+vpub+++=say
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
only ^rb+down+++=only
you ^pp2+pp2+++=you
knew ^vbd+vprv++xvbn+=knew!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
life ^nn++++=life
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub++xvbnx+=answered
silently ^rb+cnj+++=silently,
, ^zz++++=EXTRAWORD
glancing ^vbg+++xvbg+=glancing
at ^in++++=at
the ^ati++++=the
Times ^nns++++=Times
for ^in++++=for
manners ^nns+nom+++=manners'
' ^zz++++=EXTRAWORD
sake ^nn++++=sake.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know
the ^ati++++=the
whole ^jj+atrb+++=whole
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
' ^zz++++='Peace
peace ^nn++++=EXTRAWORD
between ^in++++=between
Germany ^np++++=Germany
and ^cc++++=and
the ^ati++++=the
Allied ^jj+atrb++xvbn+=Allied
Powers ^nns++++=Powers
was ^vbd+bedz+aux++=was
yesterday ^nr+tm+++=yesterday
officially ^rb++++=officially
ushered ^vbd+++xvbn+=ushered
in ^in++++=in
at ^in++++=at
Paris ^np++++=Paris
Signor ^npt++++=Signor
Nitti ^np+++??+=Nitti,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Italian ^jj+atrb+++=Italian
Prime ^jjb++++=Prime
Ministera ^np+++??+=Ministera
passenger ^nn+nom+++=passenger
train ^nn++++=train
at ^rb++++=at
Doncaster ^np+nom+++=Doncaster
was ^vbd+bedz+vrb++=was
in ^in++++=in
collision ^nn++++=collision
with ^in++++=with
a ^at++++=a
goods ^nns++++=goods
train.. ^nn+++??+=train...'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
all ^rb++++=all
know ^vb+vprv+tht0++=know
the ^ati++++=the
Times ^nns++++=Times
knows ^vbz+vprv+++=knows
but ^cc++++=but
we ^pp1a+pp1+++=we
pretend ^vb+vprv+tht0++=pretend
we ^pp1a+pp1+++=we
do ^vb+do+vrb++=don't."
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
eyes ^nns++++=eyes
had ^vb+hv+vrb++=had
once ^rb+tm+++=once
more ^ql++++=more
crept ^vbd+++xvbn+=crept
over ^in++++=over
the ^ati++++=the
paper ^nn++++=paper's
's ^$++++=EXTRAWORD
rim ^nn++++=rim.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
shuddered ^vbd+++xvbnx+=shuddered,
, ^zz++++=EXTRAWORD
twitched ^j+++xvbn+=twitched
her ^pp3o+pp3+++=her
arm ^vb++++=arm
queerly ^rb++++=queerly
to ^in++++=to
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
her ^pp$+pp3+++=her
back ^jjb++++=back
and ^cc++++=and
shook ^vbd+++xvbn+=shook
her ^pp$+pp3+++=her
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
I ^pp1a+pp1+++=I
dipped ^vbd+++xvbnx+=dipped
into ^in++++=into
my ^pp$+pp1+++=my
great ^jj+atrb+++=great
reservoir ^nn++++=reservoir
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
" ^zz++++="Take
take ^vb++++=EXTRAWORD
what ^wdt+who+++=what
you ^pp2+pp2+++=you
like ^vb++++=like,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
continued ^vbd+++xvbnx+=continued,
, ^zz++++=EXTRAWORD
" ^zz++++="births,
births ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
death ^nn++++=death,
, ^zz++++=EXTRAWORD
marriages ^nns+nom+++=marriages,
, ^zz++++=EXTRAWORD
Court ^nn++++=Court
Circular ^jj++++=Circular,
, ^zz++++=EXTRAWORD
the ^ati++++=the
habits ^nns++++=habits
of ^in++++=of
birds ^nns++++=birds,
, ^zz++++=EXTRAWORD
Leonardo ^np+++??+=Leonardo
da ^np++++=da
