B.c ^rb++++=B.C.
. ^zz++++=EXTRAWORD
389 ^cd++++=389
The ^ati++++=The
city ^nn++++=city
of ^in++++=of
Rome ^np++++=Rome
was ^vbd+bedz+aux++=was
gradually ^rb++splt++=gradually
rising ^vbg+++xvbgx+=rising
on ^in++++=on
the ^ati++++=the
banks ^nns++++=banks
of ^in++++=of
the ^ati++++=the
Tiber ^np+++??+=Tiber,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
year ^nn++++=year
was ^vbd+bedz+aux++=was
adding ^vbg+vpub++xvbgx+=adding
to ^in++++=to
its ^pp$+it+++=its
temples ^nns++++=temples
and ^cc++++=and
public ^jj+atrb+++=public
buildings ^nns++++=buildings.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
citizen ^nn++++=citizen
loved ^vbd+++xvbn+=loved
his ^pp$+pp3+++=his
city ^nn++++=city
and ^cc++++=and
her ^pp$+pp3+++=her
greatness ^nns+nom+++=greatness
above ^jjb++++=above
all ^rb++++=all
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
as ^ql++++=as
yet ^rb++++=yet
little ^ap++++=little
wealth ^nn++++=wealth
among ^in++++=among
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
the ^ati++++=the
richest ^nn++++=richest
owned ^vbd+++xvbn+=owned
little ^ap++++=little
more ^rbr++++=more
than ^in++++=than
a ^ap++++=a
few ^ap"++++=few
acres ^nns++++=acres,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
they ^pp3a+pp3+++=they
cultivated ^vbd+++xvbnx+=cultivated
themselves ^ppls+pp3+++=themselves
by ^in++++=by
the ^ati++++=the
help ^nn++++=help
of ^in++++=of
their ^pp$+pp3+++=their
families ^nns++++=families,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
of ^in++++=of
a ^ap++++=a
few ^ap"++++=few
slaves ^nns++++=slaves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
beautiful ^jj+atrb+++=beautiful
Campagna ^np+++??+=Campagna
di ^&fw++++=di
Roma ^np++++=Roma,
, ^zz++++=EXTRAWORD
girt ^nn+++??+=girt
in ^in++++=in
by ^in++++=by
hills ^nns++++=hills
looking ^vwbg+++xvbg+=looking
like ^in++++=like
amethysts ^nns++++=amethysts
in ^in++++=in
the ^ati++++=the
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
not ^xnot++not++=not
then ^rn+tm+++=then
become ^vb++++=become
almost ^rb+hdg+++=almost
uninhabitable ^jj++++=uninhabitable
from ^in++++=from
pestilential ^jj+atrb+++=pestilential
air ^nn++++=air,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
was ^vbd+bedz+vrb++=was
rich ^jj+pred+++=rich
and ^cc+phrs+++=and
fertile ^jj++++=fertile,
, ^zz++++=EXTRAWORD
full ^jj++++=full
of ^in++++=of
highly ^rb+amp+++=highly
cultivated ^jj+atrb++xvbn+=cultivated
small ^jj+atrb+++=small
farms ^nns++++=farms,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
corn ^nn++++=corn
was ^vbd+bedz+aux++=was
raised ^vpsv++agls+xvbnx+=raised
in ^in++++=in
furrows ^nn++++=furrows
