Disgrace ^np+++??+=Disgrace
is ^vbz+bez+vrb++=is
a ^at++++=a
persevering ^jj+atrb+++=persevering
lady ^nn++++=lady.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=has
taken ^vprf+++xvbnx+=taken
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
will ^md+prd+++=will
walk ^vb++++=walk
with ^in++++=with
him ^pp3o+pp3+++=him
long ^rb++++=long
after ^in++++=after
the ^ati++++=the
law ^nn++++=law,
, ^zz++++=EXTRAWORD
the ^ati++++=the
minister ^nn+nom+++=minister,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
own ^ap++++=own
mother ^nn++++=mother
have ^vb+hv+aux++=have
declared ^vprf++tht0+xvbnx+=declared
the ^ati++++=the
engagement ^nn+nom+++=engagement
broken ^vbd+++xvbn+=broken.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
may ^md+pos+++=may
change ^vb++++=change
his ^pp$+pp3+++=his
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
address ^nns+nom+++=address,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
politics ^nn++++=politics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
part ^nn++++=part
in ^in++++=in
his ^pp$+pp3+++=his
hair ^nn++++=hair;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
rustling ^jj++++=rustling
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling
at ^rb++++=at
acquaintances ^nns+nom+++=acquaintances
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
can ^md+pos+++=can
dodge ^vb++++=dodge
into ^in++++=into
an ^at++++=an
alley ^nn++++=alley.
. ^zz++++=EXTRAWORD
Ted ^np++++=Ted
Terrill ^np+++??+=Terrill
found ^vbd+vprv++xvbn+=found
this ^dt+dem+++=this
out ^rp+pl+++=out
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
home ^nr++++=home
to ^in++++=to
Bellwether ^np+nom++??+=Bellwether.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
before ^rb++++=before
you ^pp2+pp2+++=you
picture ^nn++++=picture
Ted ^np++++=Ted
as ^in++++=as
a ^at++++=a
hairy ^jj+atrb+++=hairy
villain ^nn++++=villain
with ^in++++=with
a ^at++++=a
scar ^nn++++=scar
across ^in+pl+++=across
one ^cd1++++=one
eye ^nn++++=eye
and ^cc++++=and
a ^at++++=a
black ^jj+atrb+++=black
cigar ^nn++++=cigar
pointing ^vwbg+++xvbg+=pointing
toward ^in++++=toward
further ^jjb+atrb+++=further
crimes ^nns++++=crimes,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
us ^pp1o+pp1+++=us
correct ^vb++++=correct
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Authors ^nns++++=Authors
