Jacob ^np++++=Jacob
Kent ^np++++=Kent's
's ^$++++=EXTRAWORD
ruling ^jj+atrb+++=ruling
passion ^nn++++=passion
was ^vbd+bedz+vrb++=was
cupidity ^nn+nom+++=cupidity.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
men ^nns++++=men
in ^in++++=in
the ^ati++++=the
North ^nr+pl+++=North
had ^vb+hv+vrb++=had
appetites ^nns++++=appetites
for ^in++++=for
whisky ^nn++++=whisky,
, ^zz++++=EXTRAWORD
for ^in++++=for
cards ^nns++++=cards,
, ^zz++++=EXTRAWORD
for ^in++++=for
red ^jj+atrb+++=red
meat ^nn++++=meat
after ^in++++=after
famine ^nn++++=famine,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
remembered ^jj+atrb++xvbn+=remembered
warmth ^nn++++=warmth
of ^in++++=of
women ^nns++++=women
but ^cc++++=but
these ^dt+pdem+++=these
were ^vbd+bed+vrb++=were
incidental ^jj+atrb+++=incidental
fevers ^nn++++=fevers,
, ^zz++++=EXTRAWORD
remittent ^jj++++=remittent
and ^cc+phrs+++=and
human ^jj++++=human.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent's
's ^$++++=EXTRAWORD
malady ^nn++++=malady
was ^vbd+bedz+vrb++=was
constitutional ^jj+pred+++=constitutional.
. ^zz++++=EXTRAWORD
Gold ^nn++++=Gold
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
his ^pp$+pp3+++=his
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
yellowed ^j+++xvbn+=yellowed
his ^pp$+pp3+++=his
imagination ^nn+nom+++=imagination,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
established ^vbd+vprv++xvbn+=established
itself ^ppl++++=itself
in ^in++++=in
the ^ati++++=the
throne ^nn++++=throne-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
of ^in++++=of
his ^pp$+pp3+++=his
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
like ^in++++=like
some ^dti++++=some
barbaric ^jj+atrb+++=barbaric
usurper ^nn++++=usurper,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
issued ^vbd+++xvbn+=issued
decrees ^nns+nom+++=decrees
to ^in++++=to
every ^at++++=every
lesser ^jjr+atrb+++=lesser
faculty ^nn++++=faculty.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
into ^in+ppvb+++=into
the ^ati++++=the
Klondike ^np+++??+=Klondike
with ^in++++=with
a ^at++++=a
cracked ^jj+atrb++xvbn+=cracked
iron ^nn++++=iron
pot ^nn++++=pot,
, ^zz++++=EXTRAWORD
two ^cd++++=two
blankets ^nns++++=blankets,
, ^zz++++=EXTRAWORD
a ^at++++=a
muzzle ^nn++++=muzzle-loading
- ^zz++++=EXTRAWORD
