There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
once ^rb+tm+++=once
a ^at++++=a
monarch ^nn++++=monarch
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
not ^xnot++not++=not
say ^vb+vpub+++=say
where ^wrb+who+whcl++=where,
, ^zz++++=EXTRAWORD
for ^in++++=for
maps ^nns++++=maps
are ^vb+ber+vrb++=are
indiscreet ^jj+atrb+++=indiscreet
things ^nns++++=things,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
descendants ^nns+nom+++=descendants
of ^in++++=of
tyrants ^nns+nom+++=tyrants
are ^vb+ber+vrb++=are
often ^rb++++=often
touchy ^jj+pred+++=touchy
whose ^whp+who+++=whose
genius ^nn++++=genius
lay ^vbd+++xvbn+=lay
wholly ^rb++++=wholly
in ^in++++=in
the ^ati++++=the
invention ^nn+nom+++=invention
of ^in++++=of
jokes ^nns++++=jokes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
neither ^dt++neg++=neither
read ^vb+vprv++xvbn+=read
a ^at++++=a
treaty ^nn++++=treaty
without ^in++++=without
yawning ^xvbg+++xvbg+=yawning
nor ^cc++neg++=nor
hear ^vb+vprv+++=hear
a ^at++++=a
petition ^nn+nom+++=petition
without ^in++++=without
sleep ^nn++++=sleep;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
whisper ^vb+vpub+++=whisper
that ^tht+vcmp+++=that
a ^at++++=a
bishop ^npt++++=bishop
had ^vbd+hvd+aux++=had
sat ^vprf+++xvbnx+=sat
upon ^in++++=upon
a ^at++++=a
custard ^nn+++??+=custard,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
that ^tht+vcmp+++=that
an ^at++++=an
ambassador ^nn++++=ambassador's
's ^$++++=EXTRAWORD
wig ^nn++++=wig
might ^md+pos+++=might
profitably ^rb++++=profitably
be ^vb+be+aux++=be
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
mice ^nns++++=mice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
His ^pp$+pp3+++=His
Majesty ^nn++++=Majesty
became ^vbd+++xvbn+=became
at ^rb++++=at
once ^rb"+tm+++=once
vigilant ^jj++++=vigilant,
, ^zz++++=EXTRAWORD
eloquent ^jj++++=eloquent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
almost ^rb+hdg+++=almost
youthful ^jj++++=youthful.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
prodigiously ^rb++++=prodigiously
fat ^nn++++=fat
king ^npt++++=king.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
corpulence ^nn+nom+++=corpulence
produces ^vbz++++=produces
mirth ^nn++++=mirth,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
mirth ^nn++++=mirth
corpulence ^nn+nom+++=corpulence,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
question ^nn+nom+++=question
upon ^in++++=upon
which ^whp+rel+pied++=which
physicians ^nns++++=physicians
have ^vb+hv+aux++=have
disputed ^vprf+++xvbnx+=disputed
with ^in++++=with
more ^rbr++++=more
zeal ^nn++++=zeal
than ^in++++=than
wisdom ^nn++++=wisdom;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
certain ^jj+pred+++=certain,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
seven ^cd++++=seven
ministers ^nns+nom+++=ministers
were ^vbd+bed+vrb++=were
scarcely ^rb+down+++=scarcely
less ^rbr++++=less
enormous ^jj++++=enormous
than ^in++++=than
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
quite ^abl++++=quite
as ^cs+sub+++=as
addicted ^jj+++xvbn+=addicted
to ^in++++=to
laughter ^nn+nom+++=laughter.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
formed ^vbd+++xvbnx+=formed,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
seated ^xvbn+++xvbn+=seated
around ^rp++++=around
the ^ati++++=the
council ^nn++++=council-table,
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
planetary ^jj+atrb+++=planetary
system ^nn++++=system
of ^in++++=of
flesh ^nn++++=flesh,
, ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
Majesty ^nn++++=Majesty
being ^vwbg+beg++xvbg+=being
the ^ati++++=the
central ^jj+atrb+++=central
luminary ^nn+nom+++=luminary
and ^cc++++=and
the ^ati++++=the
others ^aps++++=others
revolving ^jj+++xvbg+=revolving
about ^rb++++=about
him ^pp3o+pp3+++=him
with ^in++++=with
oily ^jj+atrb+++=oily
smiles ^nns++++=smiles.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
seven ^cd++++=seven
councillors ^nns++++=councillors
agreed ^vbd+vpub++xvbn+=agreed
with ^in++++=with
the ^ati++++=the
king ^nn++++=king
in ^in++++=in
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
declared ^vbd+vpub++xvbnx+=declared
the ^ati++++=the
noon ^nn++++=noon
to ^to++++=to
be ^vbi++vrb++=be
midnight ^nn++++=midnight,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
called ^vbd+++xvbnx+=called
for ^in+ppvb+++=for
candles ^nns++++=candles.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
accused ^vbd+++xvbnx+=accused
an ^at++++=an
innocent ^jj+atrb+++=innocent
man ^nn++++=man
of ^in++++=of
treason ^nn++++=treason,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
praised ^vbd+++xvbnx+=praised
his ^pp$+pp3+++=his
discernment ^nn+nom+++=discernment.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
kicked ^vbd+++xvbnx+=kicked
a ^at++++=a
servant ^nn+nom+++=servant
down ^in++++=down
the ^ati++++=the
staircase ^nn++++=staircase,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
applauded ^vbd+++xvbnx+=applauded
the ^ati++++=the
nimbleness ^nns+nom+++=nimbleness
of ^in++++=of
the ^ati++++=the
descent ^nn++++=descent.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
discovered ^vprf+++xvbnx+=discovered,
, ^zz++++=EXTRAWORD
as ^ql++++=as
ministers ^nns+nom+++=ministers
commonly ^rb++++=commonly
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
safest ^jjt+atrb+++=safest
political ^jj+atrb+++=political
philosophy ^nn++++=philosophy
consists ^nns+nom+++=consists
in ^in++++=in
finding ^xvbg+++xvbg+=finding
the ^ati++++=the
sovereign ^nn++++=sovereign
delightful ^jj++++=delightful.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
the ^ati++++=the
king ^nn++++=king's
's ^$++++=EXTRAWORD
court ^npl++++=court
possessed ^vbd+++xvbn+=possessed
a ^at++++=a
fool ^jjb+atrb+++=fool
named ^jj+atrb++xvbn+=named
Hop ^nn++++=Hop-Frog.
- ^zz++++=EXTRAWORD
frog ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe,
, ^zz++++=EXTRAWORD
the ^ati++++=the
poor ^jj+atrb+++=poor
creature ^nn++++=creature's
's ^vbz+bez+vrb++0=EXTRAWORD
true ^jj+atrb+++=true
name ^nn++++=name;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
courts ^nns++++=courts
have ^vb+hv+aux++=have
always ^rb++splt++=always
preferred ^vprf+++xvbnx+=preferred
nicknames ^nns+++??+=nicknames
to ^in++++=to
names ^nns++++=names,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
a ^at++++=a
nickname ^nn++++=nickname
may ^md+pos+++=may
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
to ^to+vcmp+++=to
wound ^vbi++++=wound.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
dwarf ^nn++++=dwarf,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
broad ^jj++++=broad
across ^in+pl+++=across
the ^ati++++=the
chest ^nn++++=chest
and ^cc++++=and
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
with ^in++++=with
arms ^nns++++=arms
of ^in++++=of
extraordinary ^jj+atrb+++=extraordinary
strength ^nn++++=strength,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
legs ^nns++++=legs
so ^ql+emph+++=so
twisted ^jj+++xvbn+=twisted
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
moved ^vbd+++xvbnx+=moved
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor
by ^in++++=by
an ^at++++=an
awkward ^jj+atrb+++=awkward
series ^nn++++=series
of ^in++++=of
hops ^nns+++??+=hops
and ^cc++++=and
struggles ^nns++++=struggles.
. ^zz++++=EXTRAWORD
Hence ^rb+cnj+++=Hence
the ^ati++++=the
appellation ^nn+nom+++=appellation.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
teeth ^nns++++=teeth
were ^vbd+bed+vrb++=were
large ^jj+pred+++=large,
, ^zz++++=EXTRAWORD
white ^jj++++=white,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
powerful ^jj++++=powerful;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
silent ^jj+pred+++=silent,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
carved ^jj+++xvbn+=carved
out ^rp+pl+++=out
of ^in++++=of
some ^dti++++=some
dark ^nn++++=dark
and ^cc++++=and
bitter ^jj+atrb+++=bitter
wood ^nn++++=wood.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
he ^pp3a+pp3+++=he
could ^md+pos+++=could
climb ^vb++++=climb
ropes ^nns++++=ropes,
, ^zz++++=EXTRAWORD
curtains ^nns++++=curtains,
, ^zz++++=EXTRAWORD
pillars ^nns++++=pillars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carved ^xvbn+++xvbn+=carved
screens ^nns++++=screens
with ^in++++=with
the ^ati++++=the
agility ^nn+nom+++=agility
of ^in++++=of
a ^at++++=a
squirrel ^nn++++=squirrel.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
he ^pp3a+pp3+++=he
lacked ^vbd+++xvbnx+=lacked
upon ^in++++=upon
the ^ati++++=the
earth ^nn++++=earth
he ^pp3a+pp3+++=he
recovered ^vbd+++xvbnx+=recovered
in ^in++++=in
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
not ^xnot++not++=not
come ^vb++++=come
willingly ^rb++++=willingly
to ^in++++=to
the ^ati++++=the
palace ^nn++++=palace.
. ^zz++++=EXTRAWORD
A ^at++++=A
victorious ^jj++++=victorious
general ^jj++++=general
had ^vbd+hvd+aux++=had
carried ^vprf+++xvbnx+=carried
him ^pp3o+pp3+++=him
away ^in+pl+++=away
from ^in"++++=from
a ^at++++=a
distant ^jj+atrb+++=distant
mountainous ^jj+atrb+++=mountainous
province ^nn++++=province
and ^cc++++=and
presented ^vbd+++xvbn+=presented
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
king ^nn++++=king,
, ^zz++++=EXTRAWORD
as ^ql++++=as
one ^cd1++++=one
might ^md+pos+++=might
present ^vb++++=present
a ^at++++=a
strange ^jj+atrb+++=strange
bird ^nn++++=bird
or ^cc++++=or
a ^at++++=a
clockwork ^nn++++=clockwork
toy ^nn++++=toy.
. ^zz++++=EXTRAWORD
With ^in++++=With
him ^pp3o+pp3+++=him
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
Trippetta ^np+++??+=Trippetta,
, ^zz++++=EXTRAWORD
a ^at++++=a
young ^jj+atrb+++=young
woman ^nn++++=woman
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
people ^nns++++=people
and ^cc++++=and
stature ^nn++++=stature,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
so ^rb+emph+++=so
delicate ^jj++++=delicate
in ^in++++=in
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
graceful ^jj++++=graceful
in ^in++++=in
movement ^nn+nom+++=movement,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb+emph+++=so
gentle ^jj++++=gentle
in ^in++++=in
expression ^vb++++=expression
that ^tht+vcmp+++=that
even ^rb++++=even
the ^ati++++=the
gross ^jj+atrb+++=gross
ladies ^nns++++=ladies
of ^in++++=of
the ^ati++++=the
court ^nn++++=court
could ^md+pos+++=could
not ^xnot++not++=not
altogether ^nn+nom+++=altogether
despise ^vb++++=despise
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
danced ^vbd+++xvbnx+=danced
at ^rb++++=at
festivals ^nns+nom+++=festivals,
, ^zz++++=EXTRAWORD
arranged ^vpbn+vsua++xvbn+=arranged
the ^ati++++=the
masks ^nn++++=masks
of ^in++++=of
noblewomen ^jj+++xvbn+=noblewomen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
praised ^vpsv++agls+xvbnx+=praised
as ^ql++++=as
charming ^jj+++xvbg+=charming
by ^in++++=by
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
considered ^vbd+vprv++xvbn+=considered
charm ^nn++++=charm
a ^at++++=a
variety ^nn++++=variety
of ^in++++=of
property ^nn++++=property.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
Hop ^nn++++=Hop-Frog
- ^zz++++=EXTRAWORD
frog ^nn+++??+=EXTRAWORD
and ^cc++++=and
Trippetta ^np+++??+=Trippetta
there ^ex+pex+++=there
existed ^vprf+++xvbn+=existed
that ^dt+dem+++=that
close ^jj+atrb+++=close
and ^cc+phrs+++=and
silent ^jj+atrb+++=silent
fidelity ^nn+nom+++=fidelity
which ^whp+rel+subj++=which
grows ^vbz++++=grows
among ^in++++=among
captives ^nns++++=captives.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
spoke ^vbd+++xvbnx+=spoke
little ^rb++++=little
together ^nn+nom+++=together
in ^rb++++=in
public ^rb"++++=public.
. ^zz++++=EXTRAWORD
A ^at++++=A
glance ^nn++++=glance
served ^vbd+++xvbn+=served
where ^wrb+who+++=where
words ^nns++++=words
might ^md+pos+++=might
have ^vb+hv+aux++=have
betrayed ^vprf+++xvbnx+=betrayed
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
one ^cd1++++=one
suffered ^vbd+++xvbn+=suffered,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
knew ^vbd+vprv++xvbn+=knew
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
one ^cd1++++=one
was ^vbd+bedz+aux++=was
summoned ^vpsv++agls+xvbnx+=summoned,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
watched ^jj+++xvbn+=watched;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
those ^dt+dem+++=those
rare ^jj+atrb+++=rare
evenings ^nns++++=evenings
when ^wrb+who+++=when
the ^ati++++=the
palace ^nn++++=palace
forgot ^vbd+vprv++xvbn+=forgot
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
sat ^vbd+++xvbnx+=sat
beneath ^in+pl+++=beneath
a ^at++++=a
narrow ^jj+atrb+++=narrow
eastern ^jj+atrb+++=eastern
window ^nn++++=window
and ^cc++++=and
looked ^vpsv++agls+xvbn+=looked
toward ^in++++=toward
the ^ati++++=the
country ^nn++++=country
from ^in++++=from
which ^whp+rel+pied++=which
neither ^dt++neg++=neither
expected ^vb+++xvbn+=expected
to ^to+vcmp+++=to
return ^vbi++++=return.
. ^zz++++=EXTRAWORD
The ^ati++++=The
king ^npt++++=king
