# ^zz++++=#
The ^ati++++=The
Roly ^np+++??+=Roly-Poly
- ^zz++++=EXTRAWORD
poly ^np++++=EXTRAWORD
Kitten ^nn++++=Kitten
Once ^rb+tm+++=Once
upon ^in++++=upon
a ^at++++=a
time ^nn++++=time
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
an ^at++++=an
old ^jj+atrb+++=old,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
house ^nn++++=house
in ^in++++=in
a ^at++++=a
windy ^jj+atrb+++=windy
lane ^nn++++=lane,
, ^zz++++=EXTRAWORD
with ^in++++=with
thick ^jj+atrb+++=thick
stone ^nn++++=stone
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
crooked ^jj+atrb+++=crooked
chimneys ^nns++++=chimneys,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
many ^ap++++=many
cupboards ^nns++++=cupboards
that ^tht+rel+obj++=that
nobody ^pn++++=nobody
knew ^vbd+vprv++xvbn+=knew
where ^wrb+who+whcl++=where
all ^rb++++=all
of ^in++++=of
them ^pp3o+pp3+++=them
led ^vbd+++xvbn+=led.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Tabitha ^np++++=Tabitha
Twitchit ^np+++??+=Twitchit
lived ^vbd+++xvbn+=lived
there ^rn+pl+++=there
with ^in++++=with
her ^pp$+pp3+++=her
three ^cd++++=three
kittens ^nns+++??+=kittens
Tom ^np++++=Tom,
, ^zz++++=EXTRAWORD
Moppet ^np+++??+=Moppet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mittens ^np+++??+=Mittens.
. ^zz++++=EXTRAWORD
On ^in++++=On
ordinary ^jj+atrb+++=ordinary
days ^nns++++=days
the ^ati++++=the
kittens ^nns+++??+=kittens
ran ^vbd+++xvbn+=ran
upstairs ^jjb++++=upstairs
and ^cc+phrs+++=and
downstairs ^jjb++++=downstairs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
and ^cc++++=and
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
their ^pp$+pp3+++=their
pinafores ^nns+++??+=pinafores
were ^vbd+bed+aux++=were
torn ^vpsv++agls+xvbnx+=torn
and ^cc++++=and
their ^pp$+pp3+++=their
little ^jj+atrb+++=little
soft ^jj+atrb+++=soft
paws ^nns+++??+=paws
were ^vbd+bed+vrb++=were
exceedingly ^rb++++=exceedingly
dirty ^jj+pred+++=dirty.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
an ^at++++=an
ordinary ^jj+atrb+++=ordinary
day ^nn++++=day.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
baking ^nn++++=baking
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Tabitha ^np++++=Tabitha
had ^vbd+hvd+aux++=had
borrowed ^vprf+++xvbnx+=borrowed
yeast ^nn++++=yeast
from ^in++++=from
Cousin ^nn++++=Cousin
Ribby ^np+++??+=Ribby,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
bought ^vprf+++xvbnx+=bought
currants ^nns+nom+++=currants,
, ^zz++++=EXTRAWORD
sugar ^nn++++=sugar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
large ^jj+atrb+++=large
pat ^np++++=pat
of ^in++++=of
yellow ^jj+atrb+++=yellow
butter ^nn++++=butter.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
tied ^vprf+++xvbnx+=tied
on ^in++++=on
a ^at++++=a
clean ^jj+atrb+++=clean
apron ^nn++++=apron
and ^cc++++=and
brushed ^vbd+++xvbn+=brushed
the ^ati++++=the
flour ^nn++++=flour
from ^in++++=from
the ^ati++++=the
kitchen ^nn++++=kitchen
table ^nn++++=table.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+vrb++=be
good ^jj+atrb+++=good
kittens ^nns+++??+=kittens,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
keep ^vb++++=keep
out ^rb+phrv+++=out
of ^in++++=of
the ^ati++++=the
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
must ^md+nec+++=must
not ^xnot++not++=not
climb ^vb++++=climb
the ^ati++++=the
dresser ^nn++++=dresser,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
must ^md+nec+++=must
not ^xnot++not++=not
touch ^vb++++=touch
the ^ati++++=the
dough ^nn+++??+=dough."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
be ^vb+be+vrb++=be
good ^jj+pred+++=good,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Moppet ^np+++??+=Moppet.
. ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
good ^jj++++=good,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mittens ^np+++??+=Mittens.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
said ^vbd+vpub++xvbn+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
at ^rb++++=at
the ^ati++++=the
chimney ^nn++++=chimney.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Tabitha ^np++++=Tabitha
did ^vbd+dod+aux++=did
not ^xnot++not++=not
trust ^vb+vprv+++=trust
this ^dt+dem+++=this
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
put ^vbd+++xvbnx+=put
Moppet ^np+++??+=Moppet
and ^cc++++=and
Mittens ^np+++??+=Mittens
into ^in++++=into
a ^at++++=a
large ^jj+atrb+++=large
cupboard ^nn++++=cupboard
in ^in++++=in
the ^ati++++=the
best ^jjt+atrb+++=best
bedroom ^nn++++=bedroom.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
comfortable ^jj+atrb+++=comfortable
cupboard ^nn++++=cupboard,
, ^zz++++=EXTRAWORD
with ^in++++=with
folded ^xvbn+++xvbn+=folded
blankets ^nns++++=blankets
at ^in++++=at
the ^ati++++=the
bottom ^nn++++=bottom
and ^cc++++=and
a ^rb++++=a
little ^rb"++++=little
round ^in++++=round
hole ^nn++++=hole
in ^in++++=in
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
for ^in++++=for
Tom ^np++++=Tom.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
under ^in++++=under
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
behind ^in+pl+++=behind
the ^ati++++=the
curtains ^nns++++=curtains.
. ^zz++++=EXTRAWORD
