Wal ^nn++++=Wal,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
remember ^nn+nom+++=remember
Parson ^nn++++=Parson
Carryl ^np+++??+=Carryl,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
ye ^pp2+pp2+++=ye?
? ^zz++++=EXTRAWORD
Him ^pp3o+pp3+++=Him
that ^cs+sub+++=that
preached ^vwbn+++xvbn+=preached
over ^in++++=over
to ^in++++=to
North ^nr+pl+++=North
Winton ^np+++??+=Winton
nigh ^rb++++=nigh
on ^in++++=on
thirty ^cd++++=thirty
year ^nn++++=year,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
take ^vb++++=take
up ^rb+phrv+++=up
the ^ati++++=the
prophecy ^nn++++=prophecy
of ^in++++=of
Ezekiel ^np+++??+=Ezekiel
and ^cc++++=and
turn ^nn++++=turn
it ^pp3+it+++=it
inside ^jjb++++=inside
out ^rp+pl+++=out
afore ^in++++=afore
a ^at++++=a
congregation ^nn+nom+++=congregation
without ^in++++=without
once ^rb+tm+++=once
losin ^nn+++??+=losin'
' ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
place ^nn++++=place.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
Hebrew ^jj+atrb+++=Hebrew
roots ^nns++++=roots
and ^cc++++=and
Greek ^jj+atrb+++=Greek
endings ^nns++++=endings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
tell ^vb++++=tell
what ^wdt+who+++=what
all ^abn++++=all
the ^ati++++=the
kings ^nns++++=kings
of ^in++++=of
Judah ^np++++=Judah
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi+vbi+aux++=have
done ^vprf+++xvbn+=done
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they'd
'd ^md+prd+aux++0=EXTRAWORD
only ^rb+down+++=only
had ^vb+hv+vrb++=had
the ^ati++++=the
sense ^nn++++=sense
to ^to++++=to
ask ^vbi++++=ask
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
set ^nn+++xvbn+=set
him ^pp3o+pp3+++=him
down ^rp++++=down
afore ^in++++=afore
a ^at++++=a
churn ^jj+++xvbn+=churn,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
ask ^vb++++=ask
him ^pp3o+pp3+++=him
whether ^cs+who+++=whether
a ^at++++=a
cucumber ^nn++++=cucumber
come ^vb++++=come
on ^in++++=on
a ^at++++=a
vine ^nn++++=vine
or ^cc++++=or
a ^at++++=a
bush ^nn++++=bush,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
learning ^xvbg+++xvbg+=learning
stopped ^vprf+++xvbn+=stopped
short ^jj++++=short
at ^rb++++=at
the ^ati++++=the
kitchen ^nn++++=kitchen
door ^nn++++=door.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np+++??+=Carryl
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
folks ^nns++++=folks
was ^vbd+bedz+vrb++=was
rail ^nn++++=rail
sorry ^uh++++=sorry.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++0=She'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
patient ^nn++++=patient
sort ^rb+hdg+++=sort
of ^rb"+hdg"+++=of
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
always ^rb++++=always
