# ^zz++++=#
The ^ati++++=The
Keeper ^nn++++=Keeper
of ^in++++=of
Lost ^xvbn+++xvbn+=Lost
Hours ^nns++++=Hours
Every ^at++++=Every
town ^nn++++=town
loses ^vbz++++=loses
time ^nn++++=time.
. ^zz++++=EXTRAWORD
A ^at++++=A
minute ^nn++++=minute
slips ^vbz++++=slips
beneath ^in+pl+++=beneath
a ^at++++=a
caf ^nn+++??+=caf
table ^nn++++=table
while ^cs+sub+++=while
someone ^pn++++=someone
waits ^nns+++??+=waits
for ^in++++=for
an ^at++++=an
apology ^nn++++=apology.
. ^zz++++=EXTRAWORD
An ^at++++=An
afternoon ^nn++++=afternoon
vanishes ^vbz++++=vanishes
in ^in++++=in
a ^at++++=a
hospital ^nn+nom+++=hospital
corridor ^nn++++=corridor.
. ^zz++++=EXTRAWORD
Whole ^jj+atrb+++=Whole
summers ^nns+nom+++=summers
are ^vb+ber+aux++=are
misplaced ^vpsv++by+xvbnx+=misplaced
by ^in++++=by
children ^nns++++=children
who ^whp+rel+subj++=who
swear ^vb+vpub+tht0+xvbn+=swear
they ^pp3a+pp3+++=they
only ^rb+down+++=only
closed ^jj+++xvbn+=closed
their ^pp$+pp3+++=their
eyes ^nns++++=eyes
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
In ^in++++=In
Bellwether ^np+nom++??+=Bellwether,
, ^zz++++=EXTRAWORD
lost ^jj+atrb++xvbn+=lost
time ^nn++++=time
gathered ^vbd+++xvbn+=gathered
beneath ^in+pl+++=beneath
the ^ati++++=the
clock ^nn++++=clock
tower ^nn++++=tower.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
knew ^vbd+vprv++xvbn+=knew
this ^dt+dem+++=this
except ^in++++=except
Elias ^np+++??+=Elias
Vale ^nn++++=Vale,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tower ^npl++++=tower's
's ^$++++=EXTRAWORD
keeper ^nn++++=keeper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
it ^pp3+it+++=it
from ^in++++=from
his ^pp$+pp3+++=his
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
it ^pp3+it+++=it
from ^in++++=from
hers ^pp$$++++=hers.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
forty ^cd++++=forty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
years ^nns++++=years,
, ^zz++++=EXTRAWORD
a ^at++++=a
member ^nn++++=member
of ^in++++=of
the ^ati++++=the
Vale ^nn++++=Vale
family ^nn++++=family
had ^vbd+hvd+aux++=had
climbed ^vprf+++xvbnx+=climbed
the ^ati++++=the
narrow ^jj+atrb+++=narrow
staircase ^nn++++=staircase
each ^dt++++=each
night ^nn++++=night,
, ^zz++++=EXTRAWORD
entered ^j+++xvbn+=entered
the ^ati++++=the
clock ^nn++++=clock
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
collected ^vwbn+++xvbn+=collected
whatever ^nn+nom+++=whatever
the ^ati++++=the
town ^nn++++=town
had ^vbd+hvd+aux++=had
let ^vprf+++xvbnx+=let
fall ^nn++++=fall.
. ^zz++++=EXTRAWORD
Usually ^rb+cnj+++=Usually,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
