At ^rb++++=At
six ^cd++++=six
o'clock ^rb++++=o'clock
every ^at++++=every
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Venn ^np+++??+=Venn
opened ^vbd+++xvbn+=opened
the ^ati++++=the
shutters ^nns+nom+++=shutters
of ^in++++=of
the ^ati++++=the
Last ^jj+atrb+++=Last
Post ^nn++++=Post
Office ^nn++++=Office
and ^cc++++=and
waited ^vpsv++agls+xvbn+=waited
for ^in++++=for
the ^ati++++=the
dead ^jj++++=dead
to ^to++++=to
write ^vbi++++=write.
. ^zz++++=EXTRAWORD
The ^ati++++=The
building ^nn++++=building
stood ^vbd+++xvbn+=stood
at ^rb++++=at
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
Bellweather ^np+nom++??+=Bellweather,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
cobbled ^jj+atrb+++=cobbled
road ^npl++++=road
dissolved ^vwbn+++xvbn+=dissolved
into ^in++++=into
marsh ^nn++++=marsh
grass ^nn++++=grass
and ^cc++++=and
pale ^jj+atrb+++=pale
water ^nn++++=water.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
railway ^nn++++=railway
station ^nn+nom+++=station.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
could ^md+pos+++=could
still ^rb++splt++=still
see ^vb+vprv+++=see
the ^ati++++=the
platform ^nn++++=platform
behind ^in+pl+++=behind
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
no ^at++++=no
train ^nn++++=train
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
in ^in++++=in
forty ^cd++++=forty
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Rusted ^np+++??+=Rusted
tracks ^nns++++=tracks
ran ^vbd+++xvbn+=ran
into ^in+ppvb+++=into
the ^ati++++=the
reeds ^nns++++=reeds
and ^cc++++=and
vanished ^vpsv++agls+xvbn+=vanished
beneath ^in+pl+++=beneath
the ^ati++++=the
mud ^nn++++=mud.
. ^zz++++=EXTRAWORD
Above ^in+pl+++=Above
the ^ati++++=the
door ^nn++++=door
hung ^vbd+++xvbn+=hung
a ^at++++=a
blue ^nn++++=blue
sign ^vb++++=sign:
: ^zz++++=EXTRAWORD
**letters ^nns+nom+++=**LETTERS
Sent ^vbd+++xvbn+=SENT
Anywhere ^rb++++=ANYWHERE
Delivered ^vbd+++xvbn+=DELIVERED
When ^wrb+who+++=WHEN
Possible** ^np+++??+=POSSIBLE**
People ^nns++++=People
in ^in++++=in
Bellweather ^np+nom++??+=Bellweather
pretended ^vbd+vprv++xvbn+=pretended
not ^xnot++not++=not
to ^in++++=to
notice ^nn++++=notice
the ^ati++++=the
second ^od++++=second
line ^nn++++=line.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
