prompt,source,filename,f1,f2,f3,f4
human,human,4000_story_0004.txt,-7.701417859,0.7083650618,-14.13246823,-5.36252594
llm_free,ai,4000_story_0004_llm_free.txt,-16.05274934,-7.588154743,4.6597781467,-3.2787826
human,human,4000_story_0005.txt,1.9619430539,14.96441577,-12.44004973,0.5318695624
llm_free,ai,4000_story_0005_llm_free.txt,-6.366413157,-7.201679076,9.5701716626,1.5496998174
human,human,4000_story_0007.txt,-2.389299397,-9.704505135,-12.50139341,-0.038469685
llm_free,ai,4000_story_0007_llm_free.txt,-8.51414137,-11.1869833,8.9633755011,-2.637127943
human,human,4000_story_0008.txt,17.912344143,-2.314012953,-6.003180767,-0.615149527
llm_free,ai,4000_story_0008_llm_free.txt,-17.03335173,-3.470405344,7.5246516253,-2.391337927
human,human,4000_story_0009.txt,2.3429037474,34.151348496,-8.529448552,-0.586367526
llm_free,ai,4000_story_0009_llm_free.txt,-14.62939207,-10.92890551,-1.031182268,-2.188992339
human,human,4000_story_0010.txt,5.9074552203,30.40795564,-10.00061618,0.1853453595
llm_free,ai,4000_story_0010_llm_free.txt,-10.21531906,-6.159191991,3.6130311504,-0.747708857
human,human,4000_story_0013.txt,-8.18878372,11.53547657,-12.36258425,-4.98861825
llm_free,ai,4000_story_0013_llm_free.txt,-11.00819706,-2.391786166,-1.144399151,-2.102648857
human,human,4000_story_0014.txt,17.59345931,3.422192729,1.5083220797,-1.643948406
llm_free,ai,4000_story_0014_llm_free.txt,-16.21147602,-8.32061678,0.1015214418,0.3618085183
human,human,4000_story_0016.txt,7.8781690978,4.38622726,-2.874133432,-2.010680456
llm_free,ai,4000_story_0016_llm_free.txt,-11.96874838,-13.77194898,0.7113230875,2.0190321456
human,human,4000_story_0018.txt,19.157424729,24.302408297,1.0372918973,-1.531475589
llm_free,ai,4000_story_0018_llm_free.txt,-6.772422782,-5.371065734,10.382445303,6.4690267364
human,human,4000_story_0019.txt,19.986167496,4.9769504277,2.6150414892,0.1250352303
llm_free,ai,4000_story_0019_llm_free.txt,-13.15360246,-9.832721258,7.4197198649,0.0021415227
human,human,4000_story_0020.txt,-7.627911036,22.954246912,-14.39190754,-3.776548115
llm_free,ai,4000_story_0020_llm_free.txt,-16.4952092,-3.950744234,5.5424859544,1.0979101628
human,human,4000_story_0022.txt,-2.259027748,11.251384661,-12.37844895,0.3562386452
llm_free,ai,4000_story_0022_llm_free.txt,-17.05998884,-6.118525327,0.5575960512,2.5603163385
human,human,4000_story_0188.txt,15.8887202,-4.042045469,-3.470378132,-0.638891201
llm_free,ai,4000_story_0188_llm_free.txt,-15.6812884,-13.68731499,1.1718842345,0.9853529883
human,human,4000_story_0190.txt,2.3639143859,15.912791152,-21.02311665,-3.576460541
llm_free,ai,4000_story_0190_llm_free.txt,-17.09382507,-8.809533554,0.4244181484,-0.232271201
human,human,4000_story_0198.txt,3.3163561402,5.9218118233,-11.34116189,-4.6440096
llm_free,ai,4000_story_0198_llm_free.txt,-9.970866034,-13.747943,3.0542648179,0.3094555886
human,human,4000_story_0199.txt,20.531757064,3.7130504877,-3.651983091,-2.417686766
llm_free,ai,4000_story_0199_llm_free.txt,-12.68463618,-12.58467317,-0.222193335,0.2446252212
human,human,4000_story_0201.txt,27.344844442,8.8593544865,-6.856720184,-1.785552173
llm_free,ai,4000_story_0201_llm_free.txt,-12.82718192,-11.8343743,8.9373789213,2.9862953493
human,human,4000_story_0203.txt,14.501052364,-4.94316109,-3.366367069,-2.52602324
llm_free,ai,4000_story_0203_llm_free.txt,-6.681851283,-10.86483492,9.1878808389,-0.032508886
human,human,4000_story_0205.txt,14.08004786,2.2806745561,-0.858273609,-0.741865373
llm_free,ai,4000_story_0205_llm_free.txt,-12.67376577,-3.107462738,3.7259132847,2.8021285703
human,human,4000_story_0208.txt,17.481795143,5.0489801019,-1.921950033,-0.306071912
llm_free,ai,4000_story_0208_llm_free.txt,-10.56396744,-13.24250347,10.751060228,2.3739163838
human,human,4000_story_0209.txt,31.913705679,-5.317211516,-8.929272175,-0.296121902
llm_free,ai,4000_story_0209_llm_free.txt,-5.65788423,-8.650715066,4.3462095304,-1.178598846
human,human,4000_story_0213.txt,21.440836162,2.7060209618,-3.789099426,-0.26809829
llm_free,ai,4000_story_0213_llm_free.txt,-16.92499165,-6.332810264,-1.665489007,-1.700664859
human,human,4000_story_0215.txt,22.328646137,12.800246784,-4.491957306,-1.045885217
llm_free,ai,4000_story_0215_llm_free.txt,-18.59335237,-10.38288875,0.3932956165,0.6344349094
human,human,4000_story_0218.txt,31.085429373,3.3887452844,-2.644352391,3.767556412
llm_free,ai,4000_story_0218_llm_free.txt,-22.12512168,-6.694896088,-1.282586102,-2.530193338
human,human,4000_story_0219.txt,13.843961852,11.762781185,-11.24541502,-0.776602554
llm_free,ai,4000_story_0219_llm_free.txt,-9.280519021,-0.292212315,7.8376007029,0.386949939
human,human,4000_story_0220.txt,-2.478797611,2.3570219562,-11.76339777,-4.012450933
llm_free,ai,4000_story_0220_llm_free.txt,-11.7394464,-9.210993918,6.1156649377,2.1635213099
human,human,4000_story_0222.txt,11.456870104,13.049369639,-10.80563936,-2.692470637
llm_free,ai,4000_story_0222_llm_free.txt,-15.88870026,-10.63467317,2.9355673132,-0.02479045
human,human,4000_story_0223.txt,1.9303085857,4.3300617491,-10.94564386,-3.959943277
llm_free,ai,4000_story_0223_llm_free.txt,-8.575156783,-1.101394583,4.2122274029,-1.906509357
human,human,4000_story_0224.txt,19.711938159,19.66074665,-3.595970357,0.833424475
llm_free,ai,4000_story_0224_llm_free.txt,-8.069706969,-9.813430717,10.945800516,0.1028679024
human,human,4000_story_0225.txt,9.5349122929,-7.874344015,-7.29964523,-1.560944876
llm_free,ai,4000_story_0225_llm_free.txt,-16.09331614,-9.031059573,1.4729238714,0.5083246903
human,human,4000_story_0226.txt,28.819102919,-4.125091192,4.1132926933,-1.178716291
llm_free,ai,4000_story_0226_llm_free.txt,-12.26945585,-10.93804955,2.7476463533,0.5247142671
human,human,4000_story_0230.txt,26.207543642,-0.045425532,-1.60026439,-1.733894351
llm_free,ai,4000_story_0230_llm_free.txt,-15.90049592,-12.01430066,6.0316098426,0.2780865106
human,human,4000_story_0237.txt,24.217259064,-3.051794171,2.6682457952,-1.637985511
llm_free,ai,4000_story_0237_llm_free.txt,-5.241490364,-5.800124955,5.7163621437,-0.997641784
human,human,4000_story_0238.txt,17.45157315,9.7248763566,0.7884175436,0.6744408659
llm_free,ai,4000_story_0238_llm_free.txt,-12.84891588,-6.07830086,4.2236132746,0.9635963449
human,human,4000_story_0242.txt,9.0637093688,-3.167609336,-11.23636463,-4.268200838
llm_free,ai,4000_story_0242_llm_free.txt,-15.44558777,-5.470625092,2.1122137301,0.1794377403
human,human,4000_story_0249.txt,22.14438552,12.103493909,1.9268959662,2.4032391288
llm_free,ai,4000_story_0249_llm_free.txt,-14.85054007,-13.05522667,1.8772602525,-1.796785232
human,human,4000_story_0250.txt,9.797193099,9.0566103445,-1.73605781,-2.032653161
llm_free,ai,4000_story_0250_llm_free.txt,-12.26871437,-11.72546425,5.9609856794,2.154925716
human,human,4000_story_0254.txt,10.060150073,0.7477456289,-11.63147795,2.1684971298
llm_free,ai,4000_story_0254_llm_free.txt,-10.50671374,-3.638310439,6.8014184428,-0.038790521
human,human,4000_story_0256.txt,33.615082777,7.541774283,9.8701096565,2.9215710571
llm_free,ai,4000_story_0256_llm_free.txt,-14.64237349,-9.44950384,6.8947084319,0.4242739409
