prompt,source,filename,f4
human,human,4000_story_2616.txt,-5.837219628
human,human,4000_story_1171.txt,-5.715107523
human,human,4000_story_1434.txt,-5.613451075
llm,ai,4000_story_3397_llm.txt,-5.586558265
human,human,4000_story_0945.txt,-5.51698146
human,human,4000_story_2648.txt,-5.493700282
human,human,4000_story_0924.txt,-5.099581091
llm,ai,4000_story_0242_llm.txt,-5.090242244
llm,ai,4000_story_0945_llm.txt,-5.076097149
human,human,4000_story_3397.txt,-5.071630824
human,human,4000_story_0360.txt,-5.011978521
llm,ai,4000_story_3362_llm.txt,-4.920916524
human,human,4000_story_1844.txt,-4.859651339
llm,ai,4000_story_1808_llm.txt,-4.851390279
human,human,4000_story_0743.txt,-4.815359079
llm,ai,4000_story_2594_llm.txt,-4.749893629
human,human,4000_story_3760.txt,-4.746233745
human,human,4000_story_2895.txt,-4.741853354
llm,ai,4000_story_3766_llm.txt,-4.690330235
llm,ai,4000_story_3820_llm.txt,-4.684468837
human,human,4000_story_1847.txt,-4.637482932
llm,ai,4000_story_1434_llm.txt,-4.598887655
llm,ai,4000_story_3190_llm.txt,-4.587347294
human,human,4000_story_1345.txt,-4.566607556
llm,ai,4000_story_4021_llm.txt,-4.514290733
human,human,4000_story_1831.txt,-4.469909563
llm,ai,4000_story_1844_llm.txt,-4.45967075
human,human,4000_story_2887.txt,-4.450172105
human,human,4000_story_2573.txt,-4.441578713
human,human,4000_story_2293.txt,-4.431856975
llm,ai,4000_story_2616_llm.txt,-4.421239887
llm,ai,4000_story_2611_llm.txt,-4.418546243
human,human,4000_story_3190.txt,-4.41578171
human,human,4000_story_3766.txt,-4.407586921
human,human,4000_story_2611.txt,-4.375643771
human,human,4000_story_4008.txt,-4.358691175
human,human,4000_story_2893.txt,-4.357161918
human,human,4000_story_3162.txt,-4.32633788
llm,ai,4000_story_1854_llm.txt,-4.32047879
llm,ai,4000_story_1171_llm.txt,-4.316727689
llm,ai,4000_story_3388_llm.txt,-4.313430367
llm,ai,4000_story_2648_llm.txt,-4.311543164
llm,ai,4000_story_2341_llm.txt,-4.298321341
human,human,4000_story_2070.txt,-4.268706964
human,human,4000_story_2900.txt,-4.222259132
human,human,4000_story_0314.txt,-4.205691736
human,human,4000_story_2884.txt,-4.131308682
human,human,4000_story_2599.txt,-4.128414581
human,human,4000_story_3089.txt,-4.122332398
human,human,4000_story_3275.txt,-4.120219793
human,human,4000_story_2613.txt,-4.116582546
llm,ai,4000_story_3196_llm.txt,-4.098014092
llm,ai,4000_story_2376_llm.txt,-4.095097355
human,human,4000_story_2644.txt,-4.079812817
human,human,4000_story_3493.txt,-4.049681365
human,human,4000_story_0935.txt,-4.017459945
llm,ai,4000_story_3557_llm.txt,-4.003966777
human,human,4000_story_2901.txt,-3.959542641
llm,ai,4000_story_1843_llm.txt,-3.955656687
human,human,4000_story_0013.txt,-3.939018403
human,human,4000_story_3626.txt,-3.9387064
llm,ai,4000_story_0935_llm.txt,-3.915872078
llm,ai,4000_story_1847_llm.txt,-3.91414698
llm,ai,4000_story_3758_llm.txt,-3.912686303
human,human,4000_story_2594.txt,-3.898165909
llm,ai,4000_story_0314_llm.txt,-3.895827234
llm_free,ai,4000_story_3248_llm_free.txt,-3.881208029
human,human,4000_story_0223.txt,-3.876969414
human,human,4000_story_0004.txt,-3.873550645
human,human,4000_story_2878.txt,-3.865649839
human,human,4000_story_2779.txt,-3.842891021
llm,ai,4000_story_3547_llm.txt,3.5509805652
llm,ai,cont_story_0004_llm.txt,3.5654196431
llm,ai,4000_story_0479_llm.txt,3.5677500566
